"STRT_ID";"STREET";"BLD_ID";"BLD";"KORP"
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14105963";"д.9";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14042216";"д.3";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14025802";"д.35";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14089423";"д.25\А";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14669917";"д.37";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14107890";"д.4";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14099141";"д.41";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14087264";"д.10";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14106709";"д.1\А";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14114415";"д.19";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14086909";"нетр187432";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14033848";"д.Х";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14041347";"д.22";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14063197";"д.26\А";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14040741";"д.31";""
"2735381";"Ленинградская обл., Волховский р-н, д. Пульница, ";"14031507";"д.6";""
"2735380";"Ленинградская обл., Волховский р-н, д. Прусыня, ";"14065749";"д.2";""
"2735380";"Ленинградская обл., Волховский р-н, д. Прусыня, ";"10151703";"ая187414 ";""
"2735380";"Ленинградская обл., Волховский р-н, д. Прусыня, ";"14057744";"д.3";""
"2735379";"Ленинградская обл., Волховский р-н, д. Прусынская Горка, ";"14085328";"д.6";""
"2735379";"Ленинградская обл., Волховский р-н, д. Прусынская Горка, ";"10067458";"ая187414 ";""
"2735379";"Ленинградская обл., Волховский р-н, д. Прусынская Горка, ";"14032190";"д.1";""
"2735379";"Ленинградская обл., Волховский р-н, д. Прусынская Горка, ";"14082825";"д.Х";""
"2735379";"Ленинградская обл., Волховский р-н, д. Прусынская Горка, ";"14068763";"д.9";""
"2735379";"Ленинградская обл., Волховский р-н, д. Прусынская Горка, ";"14064206";"д.2";""
"2735379";"Ленинградская обл., Волховский р-н, д. Прусынская Горка, ";"14052163";"д.14";""
"2735378";"Ленинградская обл., Волховский р-н, д. Пруди, ";"14027067";"д.Х";""
"2735378";"Ленинградская обл., Волховский р-н, д. Пруди, ";"14093801";"д.5";""
"2735378";"Ленинградская обл., Волховский р-н, д. Пруди, ";"14064220";"д.13";""
"2735378";"Ленинградская обл., Волховский р-н, д. Пруди, ";"10185653";"ая187435 ";""
"2735377";"Ленинградская обл., Волховский р-н, д. Прокшеницы, ";"10035657";"ая187435 ";""
"2735377";"Ленинградская обл., Волховский р-н, д. Прокшеницы, ";"14053049";"д.Х";""
"2735377";"Ленинградская обл., Волховский р-н, д. Прокшеницы, ";"14086970";"д.16";""
"2735372";"Ленинградская обл., Волховский р-н, д. Поляша, ";"14040739";"д.7";""
"2735372";"Ленинградская обл., Волховский р-н, д. Поляша, ";"14092087";"д.1";""
"2735372";"Ленинградская обл., Волховский р-н, д. Поляша, ";"10120290";"ая187430 ";""
"2735369";"Ленинградская обл., Волховский р-н, д. Подол, ";"14054422";"д.Х";""
"2735369";"Ленинградская обл., Волховский р-н, д. Подол, ";"10171595";"ая187412 ";""
"2735369";"Ленинградская обл., Волховский р-н, д. Подол, ";"14054436";"д.6";""
"2735369";"Ленинградская обл., Волховский р-н, д. Подол, ";"14648843";"д.5";""
"2735367";"Ленинградская обл., Волховский р-н, д. Подвязье, ";"14050777";"д.Х";""
"2735367";"Ленинградская обл., Волховский р-н, д. Подвязье, ";"14114806";"д.1";""
"2735367";"Ленинградская обл., Волховский р-н, д. Подвязье, ";"14066983";"д.2";""
"2735367";"Ленинградская обл., Волховский р-н, д. Подвязье, ";"14042388";"д.3";""
"2735367";"Ленинградская обл., Волховский р-н, д. Подвязье, ";"14057760";"нетр187442";""
"2735367";"Ленинградская обл., Волховский р-н, д. Подвязье, ";"10120906";"ая187442 ";""
"2735366";"Ленинградская обл., Волховский р-н, д. Подбережье, ";"14104473";"д.3";""
"2735366";"Ленинградская обл., Волховский р-н, д. Подбережье, ";"10043185";"ая187468 ";""
"2735366";"Ленинградская обл., Волховский р-н, д. Подбережье, ";"14076193";"д.13";""
"2735364";"Ленинградская обл., Волховский р-н, д. Погорелец-Хваловский, ";"14096339";"д.25";""
"2735364";"Ленинградская обл., Волховский р-н, д. Погорелец-Хваловский, ";"14038352";"д.6";""
"2735364";"Ленинградская обл., Волховский р-н, д. Погорелец-Хваловский, ";"10078719";"ая187435 ";""
"2735363";"Ленинградская обл., Волховский р-н, д. Погорелец-Воскресенский, ";"14065691";"д.20";""
"2735363";"Ленинградская обл., Волховский р-н, д. Погорелец-Воскресенский, ";"14068779";"д.Х";""
"2735363";"Ленинградская обл., Волховский р-н, д. Погорелец-Воскресенский, ";"14093533";"д.14";""
"2735363";"Ленинградская обл., Волховский р-н, д. Погорелец-Воскресенский, ";"10066417";"ая187435 ";""
"2735362";"Ленинградская обл., Волховский р-н, д. Плотичное, ";"14086854";"д.Х";""
"2735362";"Ленинградская обл., Волховский р-н, д. Плотичное, ";"14080493";"д.1";""
"3314101";"Ленинградская обл., Волховский р-н, д. Плотичное, Лесная ул., ";"14042386";"д.12";""
"3314101";"Ленинградская обл., Волховский р-н, д. Плотичное, Лесная ул., ";"14103183";"д.20";""
"2735362";"Ленинградская обл., Волховский р-н, д. Плотичное, ";"14114468";"д.23";""
"3314100";"Ленинградская обл., Волховский р-н, д. Плотичное, Дорожная ул., ";"14048613";"д.10";""
"3314100";"Ленинградская обл., Волховский р-н, д. Плотичное, Дорожная ул., ";"14045670";"д.4";""
"3314100";"Ленинградская обл., Волховский р-н, д. Плотичное, Дорожная ул., ";"14062528";"д.9\А";""
"3314035";"Ленинградская обл., Волховский р-н, с. Колчаново, Прибрежная ул., ";"14063000";"д.9";""
"3314035";"Ленинградская обл., Волховский р-н, с. Колчаново, Прибрежная ул., ";"14080495";"д.5";""
"3314035";"Ленинградская обл., Волховский р-н, с. Колчаново, Прибрежная ул., ";"14040758";"д.82";""
"3314035";"Ленинградская обл., Волховский р-н, с. Колчаново, Прибрежная ул., ";"14100369";"д.3";""
"3314035";"Ленинградская обл., Волховский р-н, с. Колчаново, Прибрежная ул., ";"14068753";"д.4";""
"2735296";"Ленинградская обл., Волховский р-н, с. Колчаново, ";"10038207";"ая187439 ";""
"2735296";"Ленинградская обл., Волховский р-н, с. Колчаново, ";"14105960";"д.Х";""
"2735296";"Ленинградская обл., Волховский р-н, с. Колчаново, ";"14048624";"д.1";""
"2735279";"Ленинградская обл., Волховский р-н, д. Извоз, ";"14022290";"д.1";""
"2735279";"Ленинградская обл., Волховский р-н, д. Извоз, ";"14017916";"д.43";""
"2735279";"Ленинградская обл., Волховский р-н, д. Извоз, ";"14113219";"д.9";""
"2735279";"Ленинградская обл., Волховский р-н, д. Извоз, ";"10183002";"ая187412 ";""
"2735356";"Ленинградская обл., Волховский р-н, д. Пенчино, ";"14107496";"д.4";""
"2735356";"Ленинградская обл., Волховский р-н, д. Пенчино, ";"14093756";"д.6";""
"2735356";"Ленинградская обл., Волховский р-н, д. Пенчино, ";"10210104";"ая187439 ";""
"2735354";"Ленинградская обл., Волховский р-н, д. Папоротно, ";"14045685";"д.8";""
"2735354";"Ленинградская обл., Волховский р-н, д. Папоротно, ";"14060991";"д.5";""
"2735354";"Ленинградская обл., Волховский р-н, д. Папоротно, ";"14051799";"д.49";""
"2735354";"Ленинградская обл., Волховский р-н, д. Папоротно, ";"14045686";"д.24";""
"2735354";"Ленинградская обл., Волховский р-н, д. Папоротно, ";"14092239";"д.43";""
"2735354";"Ленинградская обл., Волховский р-н, д. Папоротно, ";"14017512";"д.23";""
"2735354";"Ленинградская обл., Волховский р-н, д. Папоротно, ";"14021035";"д.28";""
"3314071";"Ленинградская обл., Волховский р-н, д. Папоротно, Солнечная ул., ";"14096335";"д.7";""
"3314071";"Ленинградская обл., Волховский р-н, д. Папоротно, Солнечная ул., ";"14097948";"д.3";""
"3314071";"Ленинградская обл., Волховский р-н, д. Папоротно, Солнечная ул., ";"14042604";"д.8";""
"3314071";"Ленинградская обл., Волховский р-н, д. Папоротно, Солнечная ул., ";"14046659";"д.4";""
"3314071";"Ленинградская обл., Волховский р-н, д. Папоротно, Солнечная ул., ";"14084711";"д.1";""
"3314071";"Ленинградская обл., Волховский р-н, д. Папоротно, Солнечная ул., ";"14022312";"д.Х";""
"2735354";"Ленинградская обл., Волховский р-н, д. Папоротно, ";"14062564";"д.26";""
"2735354";"Ленинградская обл., Волховский р-н, д. Папоротно, ";"14049940";"д.9";""
"2735354";"Ленинградская обл., Волховский р-н, д. Папоротно, ";"14104447";"д.1";""
"2735354";"Ленинградская обл., Волховский р-н, д. Папоротно, ";"14066961";"д.10";""
"2735354";"Ленинградская обл., Волховский р-н, д. Папоротно, ";"14113203";"д.21";""
